,apt_name,apt_rent_month,BHK,sq_ft,description
796,,"₹ 17.9 Lac
₹ 1,989/sq.ft.",,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
797,Tirupati town,"₹ 38 Lac
₹ 5,947/sq.ft.","4 BHK
4 Baths","639 sq.ft.
(59 sq.m.) Plot Area",4 Bedroom Independent House in Kalwar Road
798,Kailash nagar,"₹ 70 Lac
₹ 4,685/sq.ft.",,"1,494 sq.ft.
(139 sq.m.) Plot Area",Residential land / Plot in Jhotwara
799,,"₹ 1 Cr
₹ 11,111/sq.ft.","3 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Agarwal Farm
800,Shree Shyam Vatika 5,"₹ 20 Lac
₹ 3,076/sq.ft.","2 BHK
2 Baths","650 sq.ft.
(60 sq.m.) Super built-up Area",2 BHK Residential Apartment in Niwaru Road
801,Sajjan Apartment,"₹ 48 Lac
₹ 3,980/sq.ft.","3 BHK
3 Baths","1,506 sq.ft.
(140 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mahal Scheme
802,,"₹ 1.85 Cr
₹ 8,384/sq.ft.","9 BHK
8 Baths","2,206 sq.ft.
(205 sq.m.) Plot Area",9 Bedroom Independent House in Swarn Path Mansarovar
803,GOVINDAM Appartment,"₹ 46 Lac
₹ 6,344/sq.ft.","2 BHK
2 Baths","725 sq.ft.
(67 sq.m.) Carpet Area","2 BHK Residential Apartment in Savitri Path,Bapu Nagar"
804,,"₹ 25 Lac
₹ 3,356/sq.ft.","2 BHK
2 Baths","745 sq.ft.
(69 sq.m.) Built-up Area",2 BHK Residential Apartment in Govindpura
805,,"₹ 33 Lac
₹ 3,741/sq.ft.",,"882 sq.ft.
(82 sq.m.) Plot Area",Residential land / Plot in Niwaru
806,Anukampa Hanging Gardens,"₹ 30 Lac
₹ 2,522/sq.ft.","2 BHK
2 Baths","1,190 sq.ft.
(111 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
807,Vatika Infotech City,"₹ 14.95 Lac
₹ 1,661/sq.ft.",,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
808,Mangalam Kanak Vatika,"₹ 25 Lac
₹ 1,282/sq.ft.",,"1,949 sq.ft.
(181 sq.m.) Plot Area",Residential land / Plot in Tonk Road
809,,"₹ 40 Lac
₹ 2,137/sq.ft.",,"1,872 sq.ft.
(174 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
810,,"₹ 3.6 Cr
₹ 10,000/sq.ft.","6 BHK
5 Baths","3,600 sq.ft.
(334 sq.m.) Built-up Area",6 Bedroom Independent House in Ambabari Colony
811,,"₹ 21 Lac
₹ 2,100/sq.ft.",,"999 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Mahapura
812,Balaji Residency,"₹ 27 Lac
₹ 2,755/sq.ft.","2 BHK
2 Baths","980 sq.ft.
(91 sq.m.) Carpet Area",2 BHK Residential Apartment in Gandhi Path
813,Shivam Apartments,"₹ 28 Lac
₹ 3,500/sq.ft.","2 BHK
2 Baths","850 sq.ft.
(79 sq.m.) Built-up Area",2 BHK Residential Apartment in Niwaru Road
814,Coral Citadel,"₹ 65 Lac
₹ 6,132/sq.ft.","3 BHK
3 Baths","1,060 sq.ft.
(98 sq.m.) Carpet Area",3 BHK Residential Apartment in Panchsheel Colony
815,,"₹ 1.19 Cr
₹ 5,289/sq.ft.","3 BHK
3 Baths","2,250 sq.ft.
(209 sq.m.) Plot Area",3 Bedroom Independent House in Bandhu Nagar Sikar Road
816,Guru Kripa,"₹ 56 Lac
₹ 4,000/sq.ft.","3 BHK
3 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area","3 BHK Residential Apartment in Gautam Marg, Nirman Nagar"
817,,"₹ 36 Lac
₹ 3,260/sq.ft.",,"1,104 sq.ft.
(103 sq.m.) Plot Area",Residential land / Plot in Harmada
818,Vinayak apartment,"₹ 50 Lac
₹ 4,166/sq.ft.","3 BHK
2 Baths","1,200 sq.ft.
(111 sq.m.) Carpet Area",3 BHK Residential Apartment in Tara Nagar
819,,"₹ 36 Lac
₹ 400/sq.ft.","2 BHK
2 Baths","9,000 sq.ft.
(836 sq.m.) Plot Area",2 Bedroom Independent House in Gokulpura
820,Mangalam Aangan Residency,"₹ 31.88 Lac
₹ 2,084/sq.ft.",,"1,530 sq.ft.
(142 sq.m.) Plot Area",Residential land / Plot in Mahapura
821,,"₹ 14.75 Lac
₹ 1,883/sq.ft.",,"783 sq.ft.
(73 sq.m.) Plot Area",Residential land / Plot in Bhankrota
822,,"₹ 3 Cr
₹ 230/sq.ft.",,"121,967 sq.ft.
(11331 sq.m.) Plot Area","Residential land / Plot in Near Ratan Industrial area, Diggi road Jaipur"
823,apple anemone 1,"₹ 28 Lac
₹ 2,333/sq.ft.","2 BHK
2 Baths","1,200 sq.ft.
(111 sq.m.) Carpet Area",2 BHK Residential Apartment in gandhi path west
824,,"₹ 21 Lac
₹ 2,102/sq.ft.",,"999 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Mahapura
825,Mumal Residency,"₹ 14 Lac
₹ 3,111/sq.ft.","1 BHK
1 Bath","450 sq.ft.
(42 sq.m.) Super built-up Area",1 BHK Residential Apartment in Sanganer
826,Manglam Aangan Prime New,"₹ 20.98 Lac
₹ 18,881/sq.ft.",,"111 sq.ft.
(10 sq.m.) Plot Area",Residential land / Plot in Mahapura
827,DND Samriddhi Residency,"₹ 42.55 Lac
₹ 2,430/sq.ft.","3 BHK
3 Baths","1,751 sq.ft.
(163 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
828,subh sneha,"₹ 72.7 Lac
₹ 4,642/sq.ft.","3 BHK
2 Baths","1,551 sq.ft.
(144 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ram Nagar
829,,"₹ 1 Cr
₹ 62,003/sq.ft.",,"161 sq.ft.
(15 sq.m.) Plot Area","Residential land / Plot in netaji subhash colony-2, vikas marg"
830,"Vaishali Estate, Gandhi Path West","₹ 78 Lac
₹ 3,250/sq.ft.","3 BHK
4 Baths","2,400 sq.ft.
(223 sq.m.) Plot Area",3 Bedroom Independent House in A Block
831,Chitrakoot Yojna,"₹ 42 Lac
₹ 3,360/sq.ft.","3 BHK
2 Baths","1,250 sq.ft.
(116 sq.m.) Carpet Area",3 BHK Residential Apartment in Vaishali Nagar
832,Manglam G block,"₹ 30.36 Lac
₹ 1,989/sq.ft.",,"1,526 sq.ft.
(142 sq.m.) Plot Area",Residential land / Plot in Mahindra Sez
833,JDA Ajay Nagar,"₹ 60 Lac
₹ 5,747/sq.ft.","4 BHK
3 Baths","1,044 sq.ft.
(97 sq.m.) Plot Area",4 Bedroom Independent House in Niwaru Road
834,Govindpura Kalwar Road,"₹ 34 Lac
₹ 4,722/sq.ft.","3 BHK
2 Baths","720 sq.ft.
(67 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
835,"THE DESTINATION, KHUSHI VIHAR","₹ 40 Lac
₹ 2,439/sq.ft.","3 BHK
3 Baths","1,640 sq.ft.
(152 sq.m.) Carpet Area",3 BHK Residential Apartment in Mansarovar
836,Auric The Century Park,"₹ 23.5 Lac
₹ 2,670/sq.ft.","2 BHK
2 Baths","880 sq.ft.
(82 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
837,Unique Emporia,"₹ 68 Lac
₹ 3,787/sq.ft.","3 BHK
3 Baths","1,795 sq.ft.
(167 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
838,Gurushikhar Society,"₹ 45 Lac
₹ 2,812/sq.ft.","3 BHK
2 Baths","1,600 sq.ft.
(149 sq.m.) Carpet Area",3 BHK Residential Apartment in Shivdaspura
839,GOVERDHAN PURI AMBESHWAR G.N.S.S. LTD,"₹ 20 Lac
₹ 1,005/sq.ft.",,"1,494 sq.ft.
(139 sq.m.) Plot Area",Residential land / Plot in Ajairajpura
840,GOLDEN ENCLAVE (TOWNSHIP),"₹ 2 Lac
₹ 444/sq.ft.",,"450 sq.ft.
(42 sq.m.) Plot Area",Residential land / Plot in Chaksu
841,,"₹ 35 Lac
₹ 3,500/sq.ft.",,"1,000 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Renwal Manji
842,"Jagdamba nagar,heerapura","₹ 65 Lac
₹ 7,262/sq.ft.","3 BHK
4 Baths","895 sq.ft.
(83 sq.m.) Plot Area",3 Bedroom Independent House in Heerapura
843,,"₹ 25.1 Lac
₹ 2,952/sq.ft.","2 BHK
2 Baths","850 sq.ft.
(79 sq.m.) Carpet Area",2 BHK Independent Builder Floor in Airport Enclave
844,,"₹ 3.15 Cr
₹ 7,000/sq.ft.","5 BHK
2 Baths","4,500 sq.ft.
(418 sq.m.) Plot Area",5 Bedroom Independent House in Jhotwara
845,,"₹ 18 Lac
₹ 2,250/sq.ft.","2 BHK
2 Baths","800 sq.ft.
(74 sq.m.) Carpet Area",2 BHK Independent Builder Floor in Manglam City
846,Pearl Spytech Windsor Homes,"₹ 31 Lac
₹ 3,225/sq.ft.","2 BHK
2 Baths","961 sq.ft.
(89 sq.m.) Super built-up Area",2 BHK Residential Apartment in Sitapura
847,royal saffire,"₹ 12 Lac
₹ 2,985/sq.ft.","1 RK
1 Bath","402 sq.ft.
(37 sq.m.) Carpet Area",(1 RK) Studio Apartment in Jhotwara
848,,"₹ 52.9 Lac
₹ 2,784/sq.ft.","2 BHK
3 Baths","1,900 sq.ft.
(177 sq.m.) Carpet Area",2 BHK Independent Builder Floor in Sirsi Road
849,shree shyam residency,"₹ 49 Lac
₹ 3,500/sq.ft.","3 BHK
2 Baths","1,400 sq.ft.
(130 sq.m.) Carpet Area",3 BHK Residential Apartment in Rangoli gardens
850,Apartment,"₹ 85 Lac
₹ 5,666/sq.ft.","3 BHK
3 Baths","1,800 sq.ft.
(167 sq.m.) Super built-up Area",3 BHK Residential Apartment in Durgapura Jaipur
851,,"₹ 23.63 Lac
₹ 2,100/sq.ft.",,"1,125 sq.ft.
(105 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
852,,"₹ 67 Lac
₹ 3,350/sq.ft.","3 BHK
3 Baths","2,000 sq.ft.
(186 sq.m.) Super built-up Area","3 BHK Independent Builder Floor in Sector-4, Chitrakoot, Vaishalinagar"
853,Govindpura,"₹ 36 Lac
₹ 4,819/sq.ft.","4 BHK
3 Baths","747 sq.ft.
(69 sq.m.) Plot Area",4 Bedroom Independent House in Kalwar Road
854,,"₹ 1.52 Cr
₹ 660/sq.ft.",,"22,999 sq.ft.
(2137 sq.m.) Plot Area",Residential land / Plot in Kesar Vidhyapeeth
855,,"₹ 2.25 Cr
₹ 8,035/sq.ft.","6 BHK
3 Baths","2,800 sq.ft.
(260 sq.m.) Built-up Area",6 Bedroom Independent House in Jhotwara
856,Ashiana manglam,"₹ 32 Lac
₹ 3,200/sq.ft.","2 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Super built-up Area",2 BHK Residential Apartment in Manchwa
857,Sun n Moon Le Grand,"₹ 50 Lac
₹ 4,291/sq.ft.","2 BHK
2 Baths","1,165 sq.ft.
(108 sq.m.) Carpet Area",2 BHK Residential Apartment in Subhash Nagar
858,shivam residency,"₹ 50 Lac
₹ 5,263/sq.ft.","2 BHK
2 Baths","950 sq.ft.
(88 sq.m.) Super built-up Area",2 BHK Residential Apartment in gurunanakpura rajapark
859,,"₹ 2.8 Cr
₹ 7,778/sq.ft.","11 BHK
6 Baths","3,600 sq.ft.
(334 sq.m.) Plot Area",11 Bedroom Independent House in Murlipura
860,Ruby Sky Notes,"₹ 50 Lac
₹ 4,291/sq.ft.","3 BHK
3 Baths","1,663 sq.ft.
(155 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
861,Gurupragya Guru Shikhar,"₹ 33 Lac
₹ 3,000/sq.ft.","2 BHK
2 Baths","1,111 sq.ft.
(103 sq.m.) Carpet Area",2 BHK Residential Apartment in Chokhi Dhani
862,Govind dham Jaipur,"₹ 30 Lac
₹ 2,803/sq.ft.","2 BHK
2 Baths","1,070 sq.ft.
(99 sq.m.) Carpet Area",2 BHK Residential Apartment in Mansarovar Extension
863,Rohini Nagar Second,"₹ 20 Lac
₹ 741/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Rohini Nagar
864,Bhavya Glory Appartments,"₹ 43 Lac
₹ 3,625/sq.ft.","2 BHK
2 Baths","1,200 sq.ft.
(111 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ramnagariya
865,,"₹ 24 Lac
₹ 1,481/sq.ft.",,"1,620 sq.ft.
(151 sq.m.) Plot Area",Residential land / Plot in Chaksu
866,,"₹ 55 Lac
₹ 916/sq.ft.",,"6,000 sq.ft.
(557 sq.m.) Plot Area",Residential land / Plot in Near Railway station chomu
867,Rajasthan Housing Board Society,"₹ 66 Lac
₹ 6,000/sq.ft.","2 BHK
1 Bath","1,100 sq.ft.
(102 sq.m.) Super built-up Area",2 BHK Independent Builder Floor in Pratap Nagar
868,Sunrise City,"₹ 27 Lac
₹ 2,887/sq.ft.","3 BHK
2 Baths","935 sq.ft.
(87 sq.m.) Built-up Area",3 BHK Residential Apartment in Niwaru
869,Jaipur Greens,"₹ 90 Lac
₹ 2,000/sq.ft.",,"4,500 sq.ft.
(418 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
870,Amber garden Israwala-Billonchi,"₹ 15 Lac
₹ 833/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Delhi- Ajmer Expressway
871,Vibrant Naman Residency,"₹ 42 Lac
₹ 3,281/sq.ft.","2 BHK
2 Baths","1,280 sq.ft.
(119 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar
872,Anupam Vihar,"₹ 16.2 Lac
₹ 929/sq.ft.",,"1,743 sq.ft.
(162 sq.m.) Plot Area",Residential land / Plot in Anupam Vihar
873,SDC Metropolis,"₹ 30 Lac
₹ 2,521/sq.ft.","2 BHK
2 Baths","1,190 sq.ft.
(111 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jaisinghpura
874,,"₹ 25.09 Lac
₹ 6,500/sq.ft.",,"386 sq.ft.
(36 sq.m.) Plot Area",Residential land / Plot in Tonk Road
875,,"₹ 1.05 Cr
₹ 9,341/sq.ft.","3 BHK
4 Baths","1,017 sq.ft.
(94 sq.m.) Plot Area",3 Bedroom Independent House in Tagore Nagar
876,"C-264, Nirman Nagar","₹ 45 Lac
₹ 5,232/sq.ft.","2 BHK
2 Baths","860 sq.ft.
(80 sq.m.) Built-up Area","2 BHK Residential Apartment in Kings road ,Nirman Nagar, Opposite Shyam Nagar police station"
877,,"₹ 11 Lac
₹ 2,271/sq.ft.",,"484 sq.ft.
(45 sq.m.) Plot Area",Residential land / Plot in Malpura
878,Dhanuka Sunshine Shalimar,"₹ 90 Lac
₹ 5,909/sq.ft.","3 BHK
3 Baths","1,523 sq.ft.
(141 sq.m.) Super built-up Area",3 BHK Residential Apartment in Heera Nagar
879,nandika phase aprtment,"₹ 45 Lac
₹ 2,884/sq.ft.","3 BHK
3 Baths","1,560 sq.ft.
(145 sq.m.) Super built-up Area",3 BHK Residential Apartment in jaipur vaishali nagar
880,,"₹ 12.78 Lac
₹ 11,500/sq.ft.",,"111 sq.ft.
(10 sq.m.) Plot Area",Residential land / Plot in Bhankrota jaisinghpura
881,,"₹ 2.25 Lac
₹ 465/sq.ft.",,"484 sq.ft.
(45 sq.m.) Plot Area",Residential land / Plot in Chaksu
882,,"₹ 12 Lac
₹ 778/sq.ft.",,"1,499 sq.ft.
(139 sq.m.) Plot Area",Residential land / Plot in Kishorpura
883,80 feet road,"₹ 23 Lac
₹ 3,168/sq.ft.","2 BHK
2 Baths","726 sq.ft.
(67 sq.m.) Carpet Area",2 BHK Independent Builder Floor in 80 feet road
884,Sudha Sagar Complex,"₹ 25 Lac
₹ 5,953/sq.ft.","1 BHK
1 Bath","420 sq.ft.
(39 sq.m.) Super built-up Area",1 BHK Residential Apartment in Malviya Nagar
885,Gurupragya Guru Shikhar,"₹ 55 Lac
₹ 204/sq.ft.","3 BHK
3 Baths","26,909 sq.ft.
(2500 sq.m.) Super built-up Area",3 BHK Residential Apartment in Chokhi Dhani
886,Ashapurna Empire,"₹ 75 Lac
₹ 5,985/sq.ft.","2 BHK
2 Baths","1,253 sq.ft.
(116 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
887,Star Valley,"₹ 1.05 Cr
₹ 3,750/sq.ft.","4 BHK
3 Baths","2,800 sq.ft.
(260 sq.m.) Super built-up Area",4 BHK Residential Apartment in Murlipura
888,Chitrakoot Yojna,"₹ 44 Lac
₹ 3,142/sq.ft.","3 BHK
2 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Independent Builder Floor in Vaishali Nagar
889,ACL Surya City,"₹ 9.5 Lac
₹ 2,111/sq.ft.",,"450 sq.ft.
(42 sq.m.) Plot Area",Residential land / Plot in Sumel
890,Guman Kardhani Heights,"₹ 33 Lac
₹ 1,941/sq.ft.","4 BHK
4 Baths","1,700 sq.ft.
(158 sq.m.) Super built-up Area",4 BHK Independent Builder Floor in Govindpura Kardhani Scheme
891,Anukampa Deen Bandhu Anukampa,"₹ 80 Lac
₹ 6,611/sq.ft.","3 BHK
2 Baths","1,210 sq.ft.
(112 sq.m.) Carpet Area",3 BHK Residential Apartment in Bani Park
892,Vinyak Enclave,"₹ 27 Lac
₹ 2,250/sq.ft.","2 BHK
2 Baths","1,200 sq.ft.
(111 sq.m.) Super built-up Area",2 BHK Independent Builder Floor in Lalarpura
893,Jaipur Housing Board Society,"₹ 65 Lac
₹ 5,991/sq.ft.","2 BHK
2 Baths","1,085 sq.ft.
(101 sq.m.) Super built-up Area",2 BHK Independent Builder Floor in Malviya Nagar
894,Omaxe City,"₹ 38 Lac
₹ 2,399/sq.ft.","2 BHK
2 Baths","1,584 sq.ft.
(147 sq.m.) Plot Area",2 Bedroom Independent House in Ajmer Road
895,C-91 Archana Nagar mulipura,"₹ 1.2 Cr
₹ 60,000/sq.ft.","5 BHK
4 Baths","200 sq.ft.
(19 sq.m.) Plot Area",5 Bedroom Independent House in Bhomiya ji Ka tampal
896,,"₹ 22 Lac
₹ 2,271/sq.ft.",,"968 sq.ft.
(90 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
897,,"₹ 40 Lac
₹ 3,636/sq.ft.","2 BHK
2 Baths","1,100 sq.ft.
(102 sq.m.) Carpet Area",2 BHK Independent Builder Floor in Radhika Vihar Mansarovar
898,UDB Ecohomes,"₹ 35 Lac
₹ 2,800/sq.ft.","3 BHK
3 Baths","1,250 sq.ft.
(116 sq.m.) Carpet Area",3 BHK Residential Apartment in Dholai
899,Unnati Vihar,"₹ 43 Lac
₹ 2,047/sq.ft.",,"2,100 sq.ft.
(195 sq.m.) Plot Area",Residential property in Vishwakarma Industrial Area
900,Sumer nagar Opp. quality king,"₹ 38 Lac
₹ 2,814/sq.ft.","3 BHK
2 Baths","1,350 sq.ft.
(125 sq.m.) Super built-up Area",3 BHK Residential Apartment in vijay path new sanganer road
901,Shiv Mahima Apartment,"₹ 19 Lac
₹ 1,624/sq.ft.","2 BHK
2 Baths","1,170 sq.ft.
(109 sq.m.) Super built-up Area",2 BHK Independent Builder Floor in Shivpuri Colony
902,Govindpura Kalwar Road,"₹ 36 Lac
₹ 5,333/sq.ft.","3 BHK
2 Baths","675 sq.ft.
(63 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
903,Anukampas Platina,"₹ 62 Lac
₹ 4,112/sq.ft.","3 BHK
3 Baths","1,580 sq.ft.
(147 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar Extension
904,,"₹ 24 Lac
₹ 1,778/sq.ft.",,"1,260 sq.ft.
(117 sq.m.) Plot Area","Residential land / Plot in Kunda, Nehru Nagar, Jaipur"
905,Nandini Heights III,"₹ 51 Lac
₹ 3,642/sq.ft.","3 BHK
2 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Independent Builder Floor in Swej Farm
906,ACL Surya City,"₹ 19.25 Lac
₹ 1,944/sq.ft.",,"990 sq.ft.
(92 sq.m.) Plot Area",Residential land / Plot in Sumel
907,Dhanuka Sunshine Shalimar,"₹ 90 Lac
₹ 5,859/sq.ft.","3 BHK
3 Baths","1,536 sq.ft.
(143 sq.m.) Carpet Area",3 BHK Residential Apartment in Heera Nagar
908,gandhi path,"₹ 65 Lac
₹ 7,222/sq.ft.","3 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Vaishali Nagar
909,ganesh nagar 17,"₹ 20 Lac
₹ 3,225/sq.ft.","2 BHK
2 Baths","620 sq.ft.
(58 sq.m.) Super built-up Area",2 BHK Residential Apartment in Niwaru Road
910,"shanker nagar , Laxmi Nagar","₹ 65 Lac
₹ 92,857/sq.ft.","4 BHK
2 Baths","70 sq.ft.
(7 sq.m.) Plot Area",4 Bedroom Independent House in bharampuri
911,,"₹ 75 Lac
₹ 5,494/sq.ft.","3 BHK
2 Baths","1,365 sq.ft.
(127 sq.m.) Plot Area",3 Bedroom Independent House in Lalarpura
912,Shyam Vihar - II Bhankrota-Sirsi Road,"₹ 1.6 Cr
₹ 2,177/sq.ft.",,"7,349 sq.ft.
(683 sq.m.) Plot Area",Residential land / Plot in Near Sukhija Vihar Gandhi Path West
913,TIRUPATI DHAM-7,"₹ 37.75 Lac
₹ 5,171/sq.ft.","2 BHK
2 Baths","730 sq.ft.
(68 sq.m.) Built-up Area",2 BHK Residential Apartment in Govindpura Kardhani Scheme
914,Govindpura Kalwar Road,"₹ 35 Lac
₹ 5,185/sq.ft.","3 BHK
2 Baths","675 sq.ft.
(63 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
915,rudraksh apartment,"₹ 38 Lac
₹ 3,800/sq.ft.","3 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Carpet Area",3 BHK Residential Apartment in moti nagar vaishali nagar jaipur
916,Shree ram vihar colony manyawas mansarovar,"₹ 31 Lac
₹ 2,818/sq.ft.","2 BHK
2 Baths","1,100 sq.ft.
(102 sq.m.) Carpet Area",2 BHK Independent Builder Floor in Shree ram vihar colony
917,,"₹ 38 Lac
₹ 3,455/sq.ft.","3 BHK
2 Baths","1,100 sq.ft.
(102 sq.m.) Built-up Area",3 BHK Independent Builder Floor in 22 Godown
918,Padmavati 1,"₹ 40 Lac
₹ 4,555/sq.ft.","2 BHK
2 Baths","878 sq.ft.
(82 sq.m.) Carpet Area",2 BHK Residential Apartment in Nirman Nagar
919,,"₹ 5.5 Cr
₹ 526/sq.ft.","1 BHK
1 Bath","104,543 sq.ft.
(9712 sq.m.) Carpet Area",1 Bedroom Farm house in Sanganer
920,Auric City Homes,"₹ 13 Lac
₹ 2,292/sq.ft.","2 BHK
2 Baths","567 sq.ft.
(53 sq.m.) Built-up Area",2 BHK Residential Apartment in Jaisinghpura
921,,"₹ 16 Lac
₹ 593/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Chaksu
922,SNG Shree Enclave,"₹ 41 Lac
₹ 2,695/sq.ft.","3 BHK
3 Baths","1,521 sq.ft.
(141 sq.m.) Built-up Area",3 BHK Residential Apartment in Niwaru Road
923,Radhey Apartment,"₹ 65 Lac
₹ 7,222/sq.ft.","3 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Carpet Area",3 BHK Residential Apartment in Chitrakoot
924,On Request,"₹ 19 Lac
₹ 2,317/sq.ft.","2 BHK
2 Baths","820 sq.ft.
(76 sq.m.) Built-up Area",2 BHK Residential Apartment in Niwaru link road
925,Rameswar Dham V,"₹ 38 Lac
₹ 26,206/sq.ft.","7 BHK
4 Baths","145 sq.ft.
(13 sq.m.) Plot Area",7 Bedroom Independent House in Boytawala
926,Krishna Van,"₹ 27 Lac
₹ 1,818/sq.ft.",,"1,485 sq.ft.
(138 sq.m.) Plot Area",Residential land / Plot in KRISHNA VAN GANDHI PATH ROAD
927,,"₹ 25 Lac
₹ 2,083/sq.ft.","2 BHK
1 Bath","1,200 sq.ft.
(111 sq.m.) Super built-up Area",2 BHK Independent Builder Floor in Jp Colony
928,Agr Divine Enclave,"₹ 42 Lac
₹ 4,019/sq.ft.","2 BHK
2 Baths","1,045 sq.ft.
(97 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jaisinghpura
929,,"₹ 1.8 Cr
₹ 4,500/sq.ft.","9 BHK
9 Baths","4,000 sq.ft.
(372 sq.m.) Carpet Area",9 BHK Independent Builder Floor in Gopalpura
930,,"₹ 3.5 Cr
₹ 21,875/sq.ft.",,"1,600 sq.ft.
(149 sq.m.) Plot Area",Residential property in Mansarover
931,Shreenath Square Arcade,"₹ 44.17 Lac
₹ 2,500/sq.ft.","3 BHK
3 Baths","1,767 sq.ft.
(164 sq.m.) Built-up Area",3 BHK Residential Apartment in Jaisinghpura
932,,"₹ 50 Lac
₹ 6,250/sq.ft.","4 BHK
2 Baths","800 sq.ft.
(74 sq.m.) Plot Area",4 Bedroom Independent House in Jhotwara
933,Anukampa Hanginggardens,"₹ 31.5 Lac
₹ 2,957/sq.ft.","2 BHK
2 Baths","1,065 sq.ft.
(99 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jaisinghpura
934,Flat,"₹ 28 Lac
₹ 4,667/sq.ft.","2 BHK
1 Bath","600 sq.ft.
(56 sq.m.) Super built-up Area",2 BHK Residential Apartment in Kishanpole Bazar
935,Vatika Infotech City,"₹ 14.75 Lac
₹ 1,639/sq.ft.",,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
936,Niwaru link road,"₹ 39 Lac
₹ 5,778/sq.ft.","3 BHK
2 Baths","675 sq.ft.
(63 sq.m.) Plot Area",3 Bedroom Independent House in Kalwar Road
937,SITAPURA RIICO RESEDENTIAL,"₹ 60 Lac
₹ 3,333/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Sitapura Industrial Area
938,no society name,"₹ 65 Lac
₹ 4,814/sq.ft.","3 BHK
3 Baths","1,350 sq.ft.
(125 sq.m.) Super built-up Area",3 BHK Independent Builder Floor in plot no 31 heera nagar sbi bank chitrakoot ajmer road jaipur rajasthan
939,Imperial Heights,"₹ 75 Lac
₹ 5,572/sq.ft.","3 BHK
3 Baths","1,346 sq.ft.
(125 sq.m.) Super built-up Area",3 BHK Residential Apartment in Gandhi Path
940,,"₹ 19.5 Lac
₹ 1,560/sq.ft.","3 BHK
2 Baths","1,250 sq.ft.
(116 sq.m.) Built-up Area",3 BHK Independent Builder Floor in Niwaru
941,Saraswati vihar,"₹ 84.5 Lac
₹ 6,259/sq.ft.","9 BHK
3 Baths","1,350 sq.ft.
(125 sq.m.) Plot Area",9 Bedroom Independent House in Chokhi Dhani
942,ASKG Residency,"₹ 40 Lac
₹ 2,352/sq.ft.","4 BHK
3 Baths","1,700 sq.ft.
(158 sq.m.) Super built-up Area",4 BHK Residential Apartment in Mansarovar Extension
943,Dhanuka Sunshine Orchid,"₹ 72 Lac
₹ 7,693/sq.ft.","2 BHK
2 Baths","936 sq.ft.
(87 sq.m.) Super built-up Area",2 BHK Residential Apartment in Gopalpura Bypass
944,Palm greens,"₹ 3 Lac
₹ 333/sq.ft.",,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Dudu
945,Pearl Green Acres,"₹ 75 Lac
₹ 5,704/sq.ft.","2 BHK
2 Baths","1,315 sq.ft.
(122 sq.m.) Super built-up Area",2 BHK Residential Apartment in Gopalpura Bypass
